algoritmo,tempo_ms,n,execucao,cenario
bubble,146052.926,100000,1,aleatorio
bubble,146622.647,100000,2,aleatorio
bubble,140779.293,100000,3,aleatorio
bubble,153175.846,100000,4,aleatorio
bubble,157097.828,100000,5,aleatorio
bubble,135552.581,100000,6,aleatorio
bubble,131039.145,100000,7,aleatorio
bubble,133515.075,100000,8,aleatorio
bubble,133167.843,100000,9,aleatorio
bubble,128085.626,100000,10,aleatorio
insertion,26229.082,100000,1,aleatorio
insertion,25988.730,100000,2,aleatorio
insertion,25507.834,100000,3,aleatorio
insertion,25499.970,100000,4,aleatorio
insertion,26201.557,100000,5,aleatorio
insertion,25336.705,100000,6,aleatorio
insertion,25479.330,100000,7,aleatorio
insertion,25603.558,100000,8,aleatorio
insertion,25591.413,100000,9,aleatorio
insertion,26881.837,100000,10,aleatorio
selection,49075.783,100000,1,aleatorio
selection,48731.436,100000,2,aleatorio
selection,48196.813,100000,3,aleatorio
selection,47557.983,100000,4,aleatorio
selection,45610.412,100000,5,aleatorio
selection,42141.909,100000,6,aleatorio
selection,42084.360,100000,7,aleatorio
selection,50124.283,100000,8,aleatorio
selection,55230.651,100000,9,aleatorio
selection,55010.666,100000,10,aleatorio
shell,89.846,100000,1,aleatorio
shell,87.050,100000,2,aleatorio
shell,94.359,100000,3,aleatorio
shell,93.107,100000,4,aleatorio
shell,94.703,100000,5,aleatorio
shell,101.617,100000,6,aleatorio
shell,100.230,100000,7,aleatorio
shell,103.515,100000,8,aleatorio
shell,95.153,100000,9,aleatorio
shell,103.565,100000,10,aleatorio
heap,79.336,100000,1,aleatorio
heap,89.435,100000,2,aleatorio
heap,74.776,100000,3,aleatorio
heap,77.774,100000,4,aleatorio
heap,79.506,100000,5,aleatorio
heap,129.826,100000,6,aleatorio
heap,80.811,100000,7,aleatorio
heap,77.078,100000,8,aleatorio
heap,73.436,100000,9,aleatorio
heap,82.694,100000,10,aleatorio
merge,150.594,100000,1,aleatorio
merge,58.771,100000,2,aleatorio
merge,62.797,100000,3,aleatorio
merge,61.261,100000,4,aleatorio
merge,60.699,100000,5,aleatorio
merge,53.980,100000,6,aleatorio
merge,55.426,100000,7,aleatorio
merge,55.679,100000,8,aleatorio
merge,55.326,100000,9,aleatorio
merge,54.791,100000,10,aleatorio
quick,201.531,100000,1,aleatorio
quick,256.268,100000,2,aleatorio
quick,214.820,100000,3,aleatorio
quick,85.148,100000,4,aleatorio
quick,74.914,100000,5,aleatorio
quick,70.233,100000,6,aleatorio
quick,59.227,100000,7,aleatorio
quick,35.005,100000,8,aleatorio
quick,35.731,100000,9,aleatorio
quick,37.066,100000,10,aleatorio
