algoritmo,tempo_ms,n,execucao,cenario
bubble,920.244,10000,1,aleatorio
bubble,921.535,10000,2,aleatorio
bubble,903.145,10000,3,aleatorio
bubble,964.691,10000,4,aleatorio
bubble,889.060,10000,5,aleatorio
bubble,899.968,10000,6,aleatorio
bubble,898.943,10000,7,aleatorio
bubble,905.049,10000,8,aleatorio
bubble,931.887,10000,9,aleatorio
bubble,931.263,10000,10,aleatorio
insertion,161.134,10000,1,aleatorio
insertion,152.654,10000,2,aleatorio
insertion,160.208,10000,3,aleatorio
insertion,185.307,10000,4,aleatorio
insertion,162.338,10000,5,aleatorio
insertion,167.214,10000,6,aleatorio
insertion,174.044,10000,7,aleatorio
insertion,158.203,10000,8,aleatorio
insertion,164.745,10000,9,aleatorio
insertion,166.355,10000,10,aleatorio
selection,410.662,10000,1,aleatorio
selection,403.705,10000,2,aleatorio
selection,414.084,10000,3,aleatorio
selection,420.462,10000,4,aleatorio
selection,408.213,10000,5,aleatorio
selection,403.798,10000,6,aleatorio
selection,414.693,10000,7,aleatorio
selection,422.133,10000,8,aleatorio
selection,416.334,10000,9,aleatorio
selection,410.810,10000,10,aleatorio
shell,6.406,10000,1,aleatorio
shell,6.033,10000,2,aleatorio
shell,23.238,10000,3,aleatorio
shell,6.072,10000,4,aleatorio
shell,6.120,10000,5,aleatorio
shell,7.916,10000,6,aleatorio
shell,6.100,10000,7,aleatorio
shell,28.973,10000,8,aleatorio
shell,24.314,10000,9,aleatorio
shell,27.577,10000,10,aleatorio
heap,4.065,10000,1,aleatorio
heap,6.441,10000,2,aleatorio
heap,4.413,10000,3,aleatorio
heap,3.457,10000,4,aleatorio
heap,3.339,10000,5,aleatorio
heap,4.266,10000,6,aleatorio
heap,3.193,10000,7,aleatorio
heap,3.235,10000,8,aleatorio
heap,5.948,10000,9,aleatorio
heap,3.426,10000,10,aleatorio
merge,18.666,10000,1,aleatorio
merge,18.309,10000,2,aleatorio
merge,20.806,10000,3,aleatorio
merge,16.823,10000,4,aleatorio
merge,18.488,10000,5,aleatorio
merge,17.641,10000,6,aleatorio
merge,19.091,10000,7,aleatorio
merge,19.725,10000,8,aleatorio
merge,19.509,10000,9,aleatorio
merge,6.195,10000,10,aleatorio
quick,6.307,10000,1,aleatorio
quick,3.737,10000,2,aleatorio
quick,5.766,10000,3,aleatorio
quick,4.245,10000,4,aleatorio
quick,3.587,10000,5,aleatorio
quick,3.444,10000,6,aleatorio
quick,4.177,10000,7,aleatorio
quick,3.442,10000,8,aleatorio
quick,5.286,10000,9,aleatorio
quick,5.307,10000,10,aleatorio
